,instance_indexinmglist,study_instance_indexinmglist
143408,1329742_1,67845_1329742_1
143435,1329804_0,67848_1329804_0
143439,1329804_1,67848_1329804_1
143470,1329892_0,67852_1329892_0
143474,1329892_1,67852_1329892_1
143485,1329904_0,67852_1329904_0
143489,1329904_1,67852_1329904_1
143503,1330053_0,67863_1330053_0
143507,1330053_1,67863_1330053_1
143511,1330069_0,67863_1330069_0
143515,1330069_1,67863_1330069_1
143543,1330087_0,67864_1330087_0
143558,1330118_0,67865_1330118_0
143562,1330118_1,67865_1330118_1
143579,1330158_0,67866_1330158_0
143583,1330158_1,67866_1330158_1
143600,1330335_0,67875_1330335_0
143604,1330335_1,67875_1330335_1
143627,1330348_0,67875_1330348_0
143631,1330348_1,67875_1330348_1
143645,1330412_0,67877_1330412_0
143649,1330412_1,67877_1330412_1
143694,1330501_0,67880_1330501_0
143698,1330501_1,67880_1330501_1
143725,1330569_0,67881_1330569_0
143729,1330569_1,67881_1330569_1
143752,1330593_0,67881_1330593_0
143756,1330593_1,67881_1330593_1
143811,1330642_0,67883_1330642_0
143815,1330642_1,67883_1330642_1
143819,1330643_0,67883_1330643_0
143823,1330643_1,67883_1330643_1
143843,1330721_0,67885_1330721_0
143847,1330721_1,67885_1330721_1
143851,1330715_0,67885_1330715_0
143855,1330715_1,67885_1330715_1
143879,1331327_0,67910_1331327_0
143883,1331327_1,67910_1331327_1
143913,1331386_0,67914_1331386_0
143917,1331386_1,67914_1331386_1
143960,1331385_3,67914_1331385_3
144015,1331468_0,67919_1331468_0
144019,1331468_1,67919_1331468_1
144023,1331638_0,67925_1331638_0
144027,1331638_1,67925_1331638_1
144031,1331643_0,67925_1331643_0
144035,1331643_1,67925_1331643_1
144081,1332008_0,67935_1332008_0
144085,1332008_1,67935_1332008_1
144114,1332015_0,67935_1332015_0
144118,1332015_1,67935_1332015_1
144134,1332034_0,67936_1332034_0
144138,1332034_1,67936_1332034_1
144154,1332043_0,67936_1332043_0
144158,1332043_1,67936_1332043_1
144172,1332439_0,67955_1332439_0
144176,1332439_1,67955_1332439_1
144191,1332453_0,67955_1332453_0
144195,1332453_1,67955_1332453_1
144249,1333249_0,68009_1333249_0
144253,1333249_1,68009_1333249_1
144277,1333277_1,68010_1333277_1
144318,1333400_1,68014_1333400_1
144320,1333400_0,68014_1333400_0
144337,1333440_0,68015_1333440_0
144341,1333440_1,68015_1333440_1
144345,1333436_0,68015_1333436_0
144349,1333436_1,68015_1333436_1
144378,1333476_1,68018_1333476_1
144380,1333489_1,68018_1333489_1
144381,1333476_2,68018_1333476_2
144387,1333489_0,68018_1333489_0
144412,1333562_0,68022_1333562_0
144416,1333562_1,68022_1333562_1
144446,1333615_0,68024_1333615_0
144450,1333615_1,68024_1333615_1
144466,1333633_0,68024_1333633_0
144479,1333703_0,68027_1333703_0
144483,1333703_1,68027_1333703_1
144535,1333767_0,68029_1333767_0
144539,1333767_1,68029_1333767_1
144556,1333781_0,68029_1333781_0
144560,1333781_1,68029_1333781_1
144610,1333840_0,68030_1333840_0
144611,1333833_0,68030_1333833_0
144612,1333840_1,68030_1333840_1
144613,1333833_1,68030_1333833_1
144627,1333843_0,68030_1333843_0
144628,1333833_2,68030_1333833_2
144669,1333933_0,68034_1333933_0
144673,1333933_1,68034_1333933_1
144714,1334021_0,68042_1334021_0
144718,1334021_1,68042_1334021_1
144731,1334059_0,68047_1334059_0
144735,1334059_1,68047_1334059_1
144766,1334374_0,68068_1334374_0
144770,1334374_1,68068_1334374_1
144803,1334425_0,68069_1334425_0
144804,1334425_1,68069_1334425_1
144850,1334458_0,68071_1334458_0
144854,1334458_1,68071_1334458_1
144859,1334556_0,68074_1334556_0
144863,1334556_1,68074_1334556_1
144935,1334862_0,68083_1334862_0
144939,1334862_1,68083_1334862_1
144954,1334880_0,68083_1334880_0
144958,1334880_1,68083_1334880_1
144985,1334967_0,68084_1334967_0
144989,1334967_1,68084_1334967_1
145000,1335464_0,68101_1335464_0
145028,1335480_0,68102_1335480_0
145032,1335480_1,68102_1335480_1
145068,1335516_1,68103_1335516_1
145084,1335696_0,68109_1335696_0
145088,1335696_1,68109_1335696_1
145107,1335812_0,68115_1335812_0
145111,1335812_1,68115_1335812_1
145130,1335894_0,68120_1335894_0
145131,1335893_0,68120_1335893_0
145138,1335894_1,68120_1335894_1
145139,1335893_1,68120_1335893_1
145171,1335986_0,68123_1335986_0
145175,1335986_1,68123_1335986_1
145206,1336063_0,68127_1336063_0
145210,1336063_1,68127_1336063_1
145244,1336181_0,68133_1336181_0
145248,1336181_1,68133_1336181_1
145281,1336299_0,68141_1336299_0
145285,1336299_1,68141_1336299_1
145311,1336378_0,68146_1336378_0
145315,1336378_1,68146_1336378_1
145365,1336457_0,68153_1336457_0
145369,1336457_1,68153_1336457_1
145383,1336726_1,68159_1336726_1
145387,1336726_2,68159_1336726_2
145430,1336810_3,68163_1336810_3
145434,1336810_4,68163_1336810_4
145452,1336897_0,68166_1336897_0
145453,1336902_0,68166_1336902_0
145460,1336897_1,68166_1336897_1
145461,1336902_1,68166_1336902_1
145512,1337110_0,68175_1337110_0
145516,1337110_1,68175_1337110_1
145520,1337127_0,68175_1337127_0
145524,1337127_1,68175_1337127_1
145553,1337170_0,68177_1337170_0
145557,1337170_1,68177_1337170_1
145585,1337284_1,68181_1337284_1
145586,1337270_1,68181_1337270_1
145593,1337284_0,68181_1337284_0
145594,1337270_0,68181_1337270_0
145630,1337363_0,68183_1337363_0
145631,1337339_1,68183_1337339_1
145632,1337363_1,68183_1337363_1
145633,1337339_2,68183_1337339_2
145671,1337414_0,68188_1337414_0
145675,1337414_1,68188_1337414_1
145711,1337680_0,68199_1337680_0
145715,1337680_1,68199_1337680_1
145736,1337695_0,68199_1337695_0
145740,1337695_1,68199_1337695_1
145750,1337804_0,68201_1337804_0
145754,1337804_1,68201_1337804_1
145771,1337816_0,68201_1337816_0
145775,1337816_1,68201_1337816_1
145822,1337897_0,68205_1337897_0
145826,1337897_1,68205_1337897_1
145830,1337886_0,68205_1337886_0
145834,1337886_1,68205_1337886_1
145845,1337957_0,68208_1337957_0
145849,1337957_1,68208_1337957_1
145894,1338094_0,68215_1338094_0
145898,1338094_1,68215_1338094_1
145932,1338149_0,68218_1338149_0
145936,1338149_1,68218_1338149_1
145953,1338442_0,68230_1338442_0
145957,1338442_1,68230_1338442_1
145990,1338587_0,68238_1338587_0
145994,1338587_1,68238_1338587_1
146023,1338674_0,68241_1338674_0
146027,1338674_1,68241_1338674_1
146043,1338695_0,68241_1338695_0
146047,1338695_1,68241_1338695_1
146063,1338795_0,68248_1338795_0
146067,1338795_1,68248_1338795_1
146085,1338806_0,68248_1338806_0
146089,1338806_1,68248_1338806_1
146133,1339221_0,68268_1339221_0
146137,1339221_1,68268_1339221_1
146311,1340158_0,68321_1340158_0
146315,1340158_1,68321_1340158_1
146370,1340581_0,68357_1340581_0
146371,1340578_0,68357_1340578_0
146372,1340581_3,68357_1340581_3
146382,1340581_1,68357_1340581_1
146383,1340578_1,68357_1340578_1
146384,1340581_2,68357_1340581_2
146438,1340682_0,68361_1340682_0
146442,1340682_1,68361_1340682_1
146513,1341022_0,68374_1341022_0
146517,1341022_1,68374_1341022_1
146585,1341258_1,68382_1341258_1
146591,1341272_0,68382_1341272_0
146592,1341258_0,68382_1341258_0
146593,1341272_1,68382_1341272_1
146721,1341510_0,68393_1341510_0
146722,1341510_1,68393_1341510_1
146729,1341510_2,68393_1341510_2
146771,1341595_0,68398_1341595_0
