,instance_indexinmglist,study_instance_indexinmglist
698464,2567408_0,111592_2567408_0
698465,2567392_0,111592_2567392_0
698482,2567407_0,111592_2567407_0
698483,2567390_0,111592_2567390_0
698517,2567474_0,111595_2567474_0
698521,2567474_1,111595_2567474_1
698525,2567474_2,111595_2567474_2
698534,2567487_0,111595_2567487_0
698538,2567487_1,111595_2567487_1
698542,2567487_2,111595_2567487_2
698554,2567526_0,111596_2567526_0
698555,2567528_0,111596_2567528_0
698568,2567528_1,111596_2567528_1
698572,2567528_2,111596_2567528_2
698576,2567526_1,111596_2567526_1
698580,2567526_2,111596_2567526_2
698594,2567547_0,111597_2567547_0
698595,2567559_1,111597_2567559_1
698596,2567547_1,111597_2567547_1
698603,2567559_0,111597_2567559_0
698610,2567559_2,111597_2567559_2
698611,2567546_1,111597_2567546_1
698630,2567574_0,111598_2567574_0
698632,2567575_0,111598_2567575_0
698636,2567575_1,111598_2567575_1
698664,2567588_0,111598_2567588_0
698668,2567588_1,111598_2567588_1
698672,2567588_2,111598_2567588_2
698683,2567616_0,111599_2567616_0
698687,2567616_1,111599_2567616_1
698691,2567616_2,111599_2567616_2
698697,2567623_0,111599_2567623_0
698698,2567623_1,111599_2567623_1
698702,2567623_2,111599_2567623_2
698712,2567633_0,111601_2567633_0
698714,2567634_0,111601_2567634_0
698718,2567634_1,111601_2567634_1
698735,2567647_0,111601_2567647_0
698739,2567647_1,111601_2567647_1
698743,2567645_0,111601_2567645_0
698749,2567698_0,111603_2567698_0
698751,2567698_2,111603_2567698_2
698755,2567698_3,111603_2567698_3
698793,2567720_0,111603_2567720_0
698797,2567720_1,111603_2567720_1
698801,2567720_2,111603_2567720_2
698823,2567881_0,111604_2567881_0
698827,2567881_1,111604_2567881_1
698828,2567873_0,111604_2567873_0
698829,-1_-1,111604_-1_-1
698830,2567878_0,111604_2567878_0
698834,2567878_1,111604_2567878_1
698856,2567984_0,111611_2567984_0
698857,2567984_1,111611_2567984_1
698861,2567984_2,111611_2567984_2
698866,2568003_0,111611_2568003_0
698867,2568003_1,111611_2568003_1
698871,2568003_2,111611_2568003_2
698891,2568016_0,111613_2568016_0
698892,2568016_1,111613_2568016_1
698897,2568042_0,111613_2568042_0
698908,2568042_1,111613_2568042_1
698909,2568015_1,111613_2568015_1
698930,2568112_0,111616_2568112_0
698931,2568212_0,111616_2568212_0
698933,2568130_0,111616_2568130_0
698934,2568130_1,111616_2568130_1
698938,2568130_2,111616_2568130_2
698947,2568136_0,111616_2568136_0
698951,2568136_1,111616_2568136_1
698974,2568099_0,111617_2568099_0
698976,2568119_0,111617_2568119_0
698995,2568263_0,111622_2568263_0
699000,2568311_0,111622_2568311_0
699014,2568311_1,111622_2568311_1
699036,2568382_0,111626_2568382_0
699040,2568432_0,111626_2568432_0
699041,2568434_0,111626_2568434_0
699045,2568434_1,111626_2568434_1
699049,2568428_0,111626_2568428_0
699053,2568428_1,111626_2568428_1
699061,2568390_0,111627_2568390_0
699065,2568390_1,111627_2568390_1
699069,2568390_2,111627_2568390_2
699084,2568420_0,111627_2568420_0
699088,2568420_1,111627_2568420_1
699092,2568420_2,111627_2568420_2
699101,2568488_0,111631_2568488_0
699102,2568488_1,111631_2568488_1
699106,2568488_2,111631_2568488_2
699139,2568511_0,111631_2568511_0
699143,2568511_1,111631_2568511_1
699147,2568511_2,111631_2568511_2
699161,2568576_1,111633_2568576_1
699162,2568563_1,111633_2568563_1
699169,2568576_0,111633_2568576_0
699170,2568563_0,111633_2568563_0
699171,2568562_0,111633_2568562_0
699181,2568576_2,111633_2568576_2
699195,2568617_0,111636_2568617_0
699199,2568617_1,111636_2568617_1
699203,2568617_2,111636_2568617_2
699243,2568732_1,111638_2568732_1
699244,2568732_0,111638_2568732_0
699255,2568731_0,111638_2568731_0
699256,2568722_0,111638_2568722_0
699292,2568759_0,111642_2568759_0
699293,2568761_0,111642_2568761_0
699295,2568753_0,111642_2568753_0
699299,2568753_1,111642_2568753_1
699303,2568759_1,111642_2568759_1
699307,2568759_2,111642_2568759_2
699349,2568995_1,111651_2568995_1
699354,2569032_0,111651_2569032_0
699355,2569031_1,111651_2569031_1
699356,2568995_0,111651_2568995_0
699357,2569031_2,111651_2569031_2
699365,2568994_0,111651_2568994_0
699376,2569031_0,111651_2569031_0
699400,2569092_0,111654_2569092_0
699402,2569092_2,111654_2569092_2
699406,2569092_3,111654_2569092_3
699425,2569106_0,111654_2569106_0
699429,2569106_1,111654_2569106_1
699433,2569106_2,111654_2569106_2
699444,2569192_0,111656_2569192_0
699448,2569192_1,111656_2569192_1
699452,2569192_2,111656_2569192_2
699453,2569196_0,111656_2569196_0
699457,2569196_1,111656_2569196_1
699499,2569239_0,111657_2569239_0
699503,2569239_1,111657_2569239_1
699507,2569240_0,111657_2569240_0
699511,2569240_1,111657_2569240_1
699515,2569240_2,111657_2569240_2
699531,2569441_0,111660_2569441_0
699532,2569441_1,111660_2569441_1
699536,2569441_2,111660_2569441_2
699555,2569501_0,111664_2569501_0
699559,2569501_1,111664_2569501_1
699563,2569501_2,111664_2569501_2
699585,2569556_0,111665_2569556_0
699589,2569556_1,111665_2569556_1
699593,2569566_0,111665_2569566_0
699597,2569566_1,111665_2569566_1
699625,2569541_0,111667_2569541_0
699629,2569541_1,111667_2569541_1
699633,2569541_2,111667_2569541_2
699662,2569591_0,111667_2569591_0
699666,2569591_1,111667_2569591_1
699670,2569591_2,111667_2569591_2
699697,2569632_1,111668_2569632_1
699698,2569632_2,111668_2569632_2
699702,2569632_3,111668_2569632_3
699746,2569725_0,111670_2569725_0
699777,2569718_0,111672_2569718_0
699781,2569718_1,111672_2569718_1
699785,2569718_2,111672_2569718_2
699804,2569954_0,111676_2569954_0
699806,2569959_0,111680_2569959_0
699810,2569959_1,111680_2569959_1
699814,2569959_2,111680_2569959_2
699850,2570037_0,111682_2570037_0
699851,2570037_1,111682_2570037_1
699855,2570037_2,111682_2570037_2
699859,2570008_0,111682_2570008_0
699863,2570008_1,111682_2570008_1
699875,2570134_0,111685_2570134_0
699879,2570134_1,111685_2570134_1
699885,2570141_0,111685_2570141_0
699910,2570368_0,111691_2570368_0
699954,2570356_0,111692_2570356_0
699958,2570356_1,111692_2570356_1
699964,2570363_0,111692_2570363_0
699968,2570363_1,111692_2570363_1
699991,2570551_0,111698_2570551_0
699992,2570557_0,111698_2570557_0
700046,2570692_0,111702_2570692_0
700050,2570692_1,111702_2570692_1
700067,2570742_0,111707_2570742_0
700071,2570742_1,111707_2570742_1
700103,2570864_0,111711_2570864_0
700107,2570864_1,111711_2570864_1
700111,2570853_0,111711_2570853_0
700144,2571159_0,111727_2571159_0
700146,2571163_0,111727_2571163_0
700157,2571266_0,111730_2571266_0
700158,2571272_0,111730_2571272_0
700162,2571272_1,111730_2571272_1
700166,2571272_2,111730_2571272_2
700167,2571266_1,111730_2571266_1
700171,2571266_2,111730_2571266_2
700185,2571427_0,111731_2571427_0
700189,2571427_1,111731_2571427_1
700193,2571428_0,111731_2571428_0
700197,2571428_1,111731_2571428_1
700203,2571354_0,111731_2571354_0
700204,2571362_0,111731_2571362_0
700216,2571547_1,111736_2571547_1
700217,2571516_1,111736_2571516_1
700223,2571547_0,111736_2571547_0
700224,2571516_0,111736_2571516_0
700225,2571547_2,111736_2571547_2
700226,2571516_2,111736_2571516_2
700244,2571563_0,111737_2571563_0
700248,2571563_1,111737_2571563_1
700252,2571563_2,111737_2571563_2
700270,2571698_0,111738_2571698_0
700271,2571698_3,111738_2571698_3
700272,2571698_1,111738_2571698_1
700276,2571698_2,111738_2571698_2
700289,2571727_0,111738_2571727_0
700293,2571727_1,111738_2571727_1
700297,2571727_2,111738_2571727_2
700317,2571806_0,111741_2571806_0
700321,2571806_1,111741_2571806_1
700348,2571803_0,111741_2571803_0
700350,2571825_0,111741_2571825_0
700360,2571993_0,111742_2571993_0
700364,2571993_1,111742_2571993_1
700413,2572002_0,111744_2572002_0
700414,2571988_0,111744_2571988_0
700415,2572002_1,111744_2572002_1
700416,2571988_1,111744_2571988_1
700429,2572002_2,111744_2572002_2
700430,2571988_2,111744_2571988_2
700454,2572224_0,111749_2572224_0
700458,2572224_1,111749_2572224_1
700462,2572233_0,111749_2572233_0
700466,2572233_1,111749_2572233_1
700491,2572108_0,111751_2572108_0
700495,2572108_1,111751_2572108_1
700537,2572216_0,111753_2572216_0
700541,2572216_1,111753_2572216_1
700545,2572216_2,111753_2572216_2
700546,2572191_0,111753_2572191_0
700550,2572191_1,111753_2572191_1
700554,2572191_2,111753_2572191_2
700561,2572410_0,111757_2572410_0
700565,2572410_1,111757_2572410_1
700591,2572410_2,111757_2572410_2
700621,2572463_0,111758_2572463_0
700625,2572463_1,111758_2572463_1
700629,2572463_2,111758_2572463_2
700634,2572493_0,111758_2572493_0
700638,2572493_1,111758_2572493_1
700642,2572493_2,111758_2572493_2
700660,2572571_0,111761_2572571_0
700661,2572519_0,111761_2572519_0
700662,2572571_1,111761_2572571_1
700663,2572519_1,111761_2572519_1
700676,2572571_2,111761_2572571_2
700677,2572519_2,111761_2572519_2
700693,2572598_0,111762_2572598_0
700697,2572598_1,111762_2572598_1
700736,2572547_0,111763_2572547_0
700740,2572547_1,111763_2572547_1
700744,2572547_2,111763_2572547_2
700762,2572564_0,111763_2572564_0
700766,2572564_1,111763_2572564_1
700770,2572564_2,111763_2572564_2
700778,2572718_0,111767_2572718_0
700782,2572718_1,111767_2572718_1
700786,2572718_2,111767_2572718_2
700787,2572719_0,111767_2572719_0
700791,2572719_1,111767_2572719_1
700795,2572720_0,111767_2572720_0
700824,2572834_0,111769_2572834_0
700846,2572962_0,111775_2572962_0
700850,2572962_1,111775_2572962_1
700854,2572962_2,111775_2572962_2
700859,2572972_0,111775_2572972_0
700864,2573301_2,111783_2573301_2
700876,2573030_0,111777_2573030_0
700880,2573030_1,111777_2573030_1
700884,2573030_2,111777_2573030_2
700890,2573041_0,111777_2573041_0
700901,2573079_0,111779_2573079_0
700905,2573079_1,111779_2573079_1
700909,2573079_2,111779_2573079_2
700944,2573301_0,111783_2573301_0
700948,2573301_1,111783_2573301_1
700993,2573432_0,111786_2573432_0
701022,2573486_0,111788_2573486_0
701023,2573486_1,111788_2573486_1
701027,2573486_2,111788_2573486_2
701037,2573520_0,111789_2573520_0
701041,2573520_1,111789_2573520_1
701094,2573597_0,111792_2573597_0
701098,2573597_1,111792_2573597_1
701102,2573597_2,111792_2573597_2
701129,2574087_0,111809_2574087_0
701130,2574060_1,111809_2574060_1
701139,2574060_0,111809_2574060_0
701147,2574087_1,111809_2574087_1
701148,2574060_2,111809_2574060_2
701168,2574221_0,111811_2574221_0
701169,2574221_1,111811_2574221_1
701173,2574221_2,111811_2574221_2
701174,2574193_0,111811_2574193_0
701175,2574205_3,111811_2574205_3
701192,2574304_1,111814_2574304_1
701198,2574295_0,111814_2574295_0
701199,2574304_0,111814_2574304_0
701200,2574295_1,111814_2574295_1
701213,2574295_2,111814_2574295_2
701214,2574304_2,111814_2574304_2
701236,2574321_0,111818_2574321_0
701269,2574395_0,111819_2574395_0
701277,2574471_0,111819_2574471_0
701281,2574471_1,111819_2574471_1
701322,2574462_0,111822_2574462_0
701326,2574462_1,111822_2574462_1
701330,2574462_2,111822_2574462_2
701347,2574485_0,111822_2574485_0
701351,2574485_1,111822_2574485_1
701355,2574485_2,111822_2574485_2
701366,2574546_0,111824_2574546_0
701370,2574546_1,111824_2574546_1
701374,2574546_2,111824_2574546_2
701423,2574740_0,111830_2574740_0
701424,2574714_2,111830_2574714_2
701425,2574740_1,111830_2574740_1
701426,2574714_1,111830_2574714_1
701438,2574714_0,111830_2574714_0
701456,2574911_0,111834_2574911_0
701457,2574882_0,111834_2574882_0
701458,2574911_1,111834_2574911_1
701459,2574882_1,111834_2574882_1
701460,2574911_2,111834_2574911_2
701461,2574880_0,111834_2574880_0
701492,2575028_1,111841_2575028_1
701497,2575034_0,111841_2575034_0
701498,2575028_0,111841_2575028_0
701499,2575034_1,111841_2575034_1
701510,2575034_2,111841_2575034_2
701511,2575028_2,111841_2575028_2
701528,2575115_0,111842_2575115_0
701565,2575296_1,111846_2575296_1
701566,2575256_2,111846_2575256_2
701572,2575296_0,111846_2575296_0
701573,2575256_0,111846_2575256_0
701578,2575256_1,111846_2575256_1
701582,2575296_2,111846_2575296_2
701591,2575343_0,111848_2575343_0
701592,2575366_0,111848_2575366_0
701596,2575366_1,111848_2575366_1
701623,2575446_0,111855_2575446_0
701627,2575446_1,111855_2575446_1
701631,2575446_2,111855_2575446_2
701656,2575505_0,111856_2575505_0
701660,2575505_1,111856_2575505_1
701679,2575519_0,111856_2575519_0
701683,2575519_1,111856_2575519_1
701710,2575584_0,111859_2575584_0
701714,2575584_1,111859_2575584_1
701718,2575584_2,111859_2575584_2
701719,2575599_0,111859_2575599_0
701723,2575599_1,111859_2575599_1
701727,2575599_2,111859_2575599_2
701735,2575627_1,111860_2575627_1
701736,2575616_1,111860_2575616_1
701743,2575627_0,111860_2575627_0
701744,2575616_0,111860_2575616_0
701751,2575616_2,111860_2575616_2
701758,2575627_2,111860_2575627_2
701779,2575833_0,111870_2575833_0
701783,2575833_1,111870_2575833_1
701787,2575833_2,111870_2575833_2
701813,2575869_0,111871_2575869_0
701817,2575869_1,111871_2575869_1
701821,2575872_0,111871_2575872_0
701837,2576024_1,111877_2576024_1
701838,2576005_1,111877_2576005_1
701845,2576024_0,111877_2576024_0
701846,2576005_0,111877_2576005_0
701885,2576104_0,111878_2576104_0
701889,2576104_1,111878_2576104_1
701893,2576104_2,111878_2576104_2
701894,2576106_0,111878_2576106_0
701898,2576106_1,111878_2576106_1
701902,2576106_2,111878_2576106_2
701942,2576330_1,111882_2576330_1
701943,2576330_0,111882_2576330_0
701957,2576330_2,111882_2576330_2
701964,2576316_0,111882_2576316_0
701968,2576316_1,111882_2576316_1
701972,2576316_2,111882_2576316_2
701995,2576258_0,111885_2576258_0
701999,2576258_1,111885_2576258_1
702003,2576258_2,111885_2576258_2
702004,2576242_0,111885_2576242_0
702008,2576242_1,111885_2576242_1
702012,2576242_2,111885_2576242_2
702034,2576346_0,111887_2576346_0
702038,2576346_1,111887_2576346_1
702042,2576346_2,111887_2576346_2
702064,2576369_0,111887_2576369_0
702068,2576369_1,111887_2576369_1
702072,2576369_2,111887_2576369_2
702076,2576408_0,111888_2576408_0
702080,2576408_1,111888_2576408_1
702084,2576408_2,111888_2576408_2
702106,2576465_0,111891_2576465_0
702110,2576465_1,111891_2576465_1
702114,2576465_2,111891_2576465_2
702128,2576503_0,111891_2576503_0
702132,2576503_1,111891_2576503_1
702136,2576503_2,111891_2576503_2
702153,2576566_0,111893_2576566_0
702157,2576566_1,111893_2576566_1
702161,2576628_0,111893_2576628_0
702185,2576688_0,111895_2576688_0
702189,2576688_1,111895_2576688_1
702193,2576688_2,111895_2576688_2
702219,2576711_0,111898_2576711_0
702223,2576711_1,111898_2576711_1
702227,2576711_2,111898_2576711_2
702264,2576767_0,111899_2576767_0
702268,2576767_1,111899_2576767_1
702278,2576819_0,111903_2576819_0
702282,2576819_1,111903_2576819_1
702286,2576819_2,111903_2576819_2
702323,2576974_0,111905_2576974_0
702324,2576974_1,111905_2576974_1
702328,2576974_2,111905_2576974_2
702391,2577230_0,111913_2577230_0
702392,2577230_1,111913_2577230_1
702396,2577230_2,111913_2577230_2
702468,2577574_0,111930_2577574_0
702472,2577574_1,111930_2577574_1
702476,2577574_2,111930_2577574_2
702524,2577748_0,111936_2577748_0
702528,2577748_1,111936_2577748_1
702532,2577748_2,111936_2577748_2
702557,2577801_0,111938_2577801_0
702561,2577801_1,111938_2577801_1
702565,2577801_2,111938_2577801_2
702566,2577806_0,111938_2577806_0
702570,2577806_1,111938_2577806_1
702574,2577806_2,111938_2577806_2
702583,2577897_0,111940_2577897_0
702587,2577897_1,111940_2577897_1
702591,2577898_0,111940_2577898_0
702620,2578003_0,111946_2578003_0
702624,2578003_1,111946_2578003_1
702628,2578003_2,111946_2578003_2
702669,2578101_0,111948_2578101_0
702673,2578101_1,111948_2578101_1
702688,2578212_0,111951_2578212_0
702689,2578212_1,111951_2578212_1
702693,2578212_2,111951_2578212_2
702729,2578250_0,111952_2578250_0
702730,2578254_0,111952_2578254_0
702737,2578257_2,111952_2578257_2
702741,2578257_3,111952_2578257_3
702775,2578318_0,111955_2578318_0
702779,2578318_1,111955_2578318_1
702783,2578318_2,111955_2578318_2
702787,-1_-1,111955_-1_-1
702791,2578455_0,111957_2578455_0
702795,2578455_1,111957_2578455_1
702799,2578456_0,111957_2578456_0
702803,2578456_1,111957_2578456_1
702835,2578418_0,111960_2578418_0
702836,2578418_1,111960_2578418_1
702840,2578418_2,111960_2578418_2
702920,2578489_0,111964_2578489_0
702922,2578510_0,111964_2578510_0
702926,2578511_0,111964_2578511_0
702930,2578512_0,111964_2578512_0
702931,2578512_1,111964_2578512_1
702935,2578512_2,111964_2578512_2
702948,2578608_0,111966_2578608_0
702949,2578608_1,111966_2578608_1
702953,2578608_2,111966_2578608_2
702975,2578721_0,111967_2578721_0
702979,2578721_1,111967_2578721_1
702983,2578721_2,111967_2578721_2
702997,2578747_0,111967_2578747_0
703001,2578747_1,111967_2578747_1
703005,2578747_2,111967_2578747_2
703051,2578862_0,111973_2578862_0
703055,2578862_1,111973_2578862_1
703059,2578863_0,111973_2578863_0
703078,2579045_0,111978_2579045_0
703082,2579045_1,111978_2579045_1
703086,2579045_2,111978_2579045_2
703087,2579057_0,111978_2579057_0
703113,2579071_0,111979_2579071_0
703114,2579071_1,111979_2579071_1
703118,2579071_2,111979_2579071_2
703128,2579344_0,111987_2579344_0
703132,2579344_1,111987_2579344_1
703136,2579344_2,111987_2579344_2
703180,2579691_0,112001_2579691_0
703184,2579691_1,112001_2579691_1
703209,2579705_0,112001_2579705_0
703213,2579705_1,112001_2579705_1
703217,2579705_2,112001_2579705_2
703218,2579691_2,112001_2579691_2
703221,2579824_0,112007_2579824_0
703225,2579824_1,112007_2579824_1
703229,2579824_2,112007_2579824_2
703257,2579850_0,112008_2579850_0
703258,2579850_1,112008_2579850_1
703269,2579868_0,112008_2579868_0
703270,2579850_2,112008_2579850_2
703310,2579924_0,112009_2579924_0
703311,2579959_0,112009_2579959_0
703331,2580006_1,112012_2580006_1
703332,2580006_2,112012_2580006_2
703340,2580005_0,112012_2580005_0
703381,2580283_1,112016_2580283_1
703382,2580193_1,112016_2580193_1
703391,2580283_0,112016_2580283_0
703392,2580193_0,112016_2580193_0
703399,2580283_2,112016_2580283_2
703400,2580197_0,112016_2580197_0
703401,2580197_1,112016_2580197_1
703458,2580633_0,112033_2580633_0
703459,2580617_1,112033_2580617_1
703465,2580617_0,112033_2580617_0
703479,2580633_1,112033_2580633_1
703480,2580617_2,112033_2580617_2
703492,2580633_2,112033_2580633_2
703504,2580718_0,112036_2580718_0
703508,2580718_1,112036_2580718_1
703512,2580718_2,112036_2580718_2
703600,2581371_0,112053_2581371_0
703604,2581371_1,112053_2581371_1
703608,2581371_2,112053_2581371_2
703631,2581455_0,112055_2581455_0
703632,2581457_0,112055_2581457_0
703656,2581553_0,112058_2581553_0
703660,2581553_1,112058_2581553_1
703688,2581589_1,112059_2581589_1
703695,2581597_0,112059_2581597_0
703696,2581589_0,112059_2581589_0
703697,2581597_1,112059_2581597_1
703704,2581597_2,112059_2581597_2
703705,2581573_0,112059_2581573_0
703706,2581589_2,112059_2581589_2
703737,2581748_0,112061_2581748_0
703749,2582007_0,112069_2582007_0
703753,2582066_0,112069_2582066_0
703757,2582066_1,112069_2582066_1
703781,2582162_1,112073_2582162_1
703782,2582141_1,112073_2582141_1
703790,2582162_0,112073_2582162_0
703791,2582141_0,112073_2582141_0
703798,2582162_2,112073_2582162_2
703799,2582143_0,112073_2582143_0
703841,2582254_0,112075_2582254_0
703845,2582254_1,112075_2582254_1
703849,2582254_2,112075_2582254_2
703862,2582276_0,112075_2582276_0
703866,2582276_1,112075_2582276_1
703870,2582276_2,112075_2582276_2
703896,2582890_0,112076_2582890_0
703902,2582904_2,112076_2582904_2
703903,2582890_1,112076_2582890_1
703904,2582904_0,112076_2582904_0
703917,2582904_1,112076_2582904_1
703918,2582888_0,112076_2582888_0
703932,2582793_0,112086_2582793_0
703936,2582793_1,112086_2582793_1
703940,2582793_2,112086_2582793_2
703953,2582817_0,112086_2582817_0
703957,2582817_1,112086_2582817_1
703961,2582817_2,112086_2582817_2
703975,2583386_0,112103_2583386_0
703979,2583386_1,112103_2583386_1
703983,2583386_2,112103_2583386_2
703988,2583392_0,112103_2583392_0
703992,2583392_1,112103_2583392_1
703996,2583392_2,112103_2583392_2
704030,2583459_0,112104_2583459_0
704031,2583438_0,112104_2583438_0
704032,2583459_1,112104_2583459_1
704033,2583438_1,112104_2583438_1
704047,2583459_2,112104_2583459_2
704048,2583433_0,112104_2583433_0
704079,2583458_0,112105_2583458_0
704081,2583465_0,112105_2583465_0
704085,2583465_1,112105_2583465_1
704163,2583675_0,112111_2583675_0
704167,2583675_1,112111_2583675_1
704171,2583675_2,112111_2583675_2
704187,2583779_0,112115_2583779_0
704191,2583779_1,112115_2583779_1
704195,2583779_2,112115_2583779_2
704231,2583912_2,112116_2583912_2
704235,2583912_0,112116_2583912_0
704239,2583912_1,112116_2583912_1
704240,2583920_0,112116_2583920_0
704244,2583920_1,112116_2583920_1
704255,2584044_0,112120_2584044_0
704259,2584044_1,112120_2584044_1
704263,2584044_2,112120_2584044_2
704265,2584089_0,112120_2584089_0
704294,2584066_1,112121_2584066_1
704299,2584121_0,112121_2584121_0
704300,2584066_0,112121_2584066_0
704301,2584121_1,112121_2584121_1
704316,2584120_0,112121_2584120_0
704317,2584066_2,112121_2584066_2
704338,2584187_0,112124_2584187_0
704342,2584187_1,112124_2584187_1
704346,2584187_2,112124_2584187_2
704389,2584466_0,112127_2584466_0
704393,2584466_1,112127_2584466_1
704397,2584470_0,112127_2584470_0
704401,2584470_1,112127_2584470_1
704405,2584314_0,112127_2584314_0
704431,2584547_0,112132_2584547_0
704435,2584547_1,112132_2584547_1
704439,2584546_0,112132_2584546_0
704445,2584558_0,112132_2584558_0
704449,2584558_1,112132_2584558_1
704453,2584558_2,112132_2584558_2
704485,2584864_0,112140_2584864_0
704486,2584870_0,112140_2584870_0
704493,2584864_1,112140_2584864_1
704497,2584864_2,112140_2584864_2
704505,2584730_0,112142_2584730_0
704509,2584730_1,112142_2584730_1
704513,2584730_2,112142_2584730_2
704527,2584749_0,112142_2584749_0
704528,2584751_0,112142_2584751_0
704532,2584751_1,112142_2584751_1
704554,2584836_0,112145_2584836_0
704555,2584867_0,112145_2584867_0
704556,2584867_3,112145_2584867_3
704557,2584836_1,112145_2584836_1
704572,2584867_1,112145_2584867_1
704573,2584867_4,112145_2584867_4
704574,2584834_0,112145_2584834_0
704575,2584834_1,112145_2584834_1
704596,2584867_2,112145_2584867_2
704630,2584847_0,112146_2584847_0
704634,2584847_1,112146_2584847_1
704638,2584847_2,112146_2584847_2
704639,2584821_0,112146_2584821_0
704644,2584821_2,112146_2584821_2
704648,2584821_3,112146_2584821_3
704688,2584944_1,112147_2584944_1
704689,2584927_1,112147_2584927_1
704698,2584944_0,112147_2584944_0
704699,2584927_0,112147_2584927_0
704700,2584927_2,112147_2584927_2
704707,2584944_2,112147_2584944_2
704740,2585099_0,112152_2585099_0
704751,2585104_0,112152_2585104_0
704803,2585354_0,112158_2585354_0
704807,2585354_1,112158_2585354_1
704811,2585354_2,112158_2585354_2
704824,2585367_0,112158_2585367_0
704828,2585367_1,112158_2585367_1
704852,2585422_0,112160_2585422_0
704856,2585422_1,112160_2585422_1
704888,2585487_0,112163_2585487_0
704905,2585523_0,112165_2585523_0
704906,2585523_1,112165_2585523_1
704910,2585523_2,112165_2585523_2
704928,2585542_0,112166_2585542_0
704947,2585546_0,112166_2585546_0
704951,2585546_1,112166_2585546_1
704956,2585593_0,112167_2585593_0
704960,2585593_1,112167_2585593_1
704970,2585579_0,112167_2585579_0
704974,2585579_1,112167_2585579_1
704978,2585579_2,112167_2585579_2
704992,2585684_0,112172_2585684_0
704996,2585684_1,112172_2585684_1
705000,2585684_2,112172_2585684_2
705022,2585769_0,112177_2585769_0
705026,2585769_1,112177_2585769_1
705030,2585770_0,112177_2585770_0
705053,2585993_0,112187_2585993_0
705072,2586085_0,112189_2586085_0
705076,2586085_1,112189_2586085_1
705098,2586045_0,112189_2586045_0
705110,2586144_0,112192_2586144_0
705153,2586264_0,112194_2586264_0
705157,2586264_1,112194_2586264_1
705161,2586264_2,112194_2586264_2
705162,2586332_0,112194_2586332_0
705166,2586332_1,112194_2586332_1
705170,2586332_2,112194_2586332_2
705181,2586216_0,112195_2586216_0
705182,2586254_0,112195_2586254_0
705189,2586216_1,112195_2586216_1
705190,2586254_1,112195_2586254_1
705197,2586216_2,112195_2586216_2
705224,2586330_0,112197_2586330_0
705228,2586330_1,112197_2586330_1
705236,2586336_0,112197_2586336_0
705265,2586398_1,112200_2586398_1
705269,2586398_2,112200_2586398_2
705273,2586398_3,112200_2586398_3
705290,2586413_0,112200_2586413_0
705294,2586413_1,112200_2586413_1
705298,2586413_2,112200_2586413_2
705326,2586593_0,112206_2586593_0
705327,2586593_1,112206_2586593_1
705354,2586659_1,112207_2586659_1
705355,2586629_1,112207_2586629_1
705362,2586659_0,112207_2586659_0
705363,2586629_0,112207_2586629_0
705370,2586659_2,112207_2586659_2
705371,2586629_2,112207_2586629_2
705392,2586839_1,112211_2586839_1
705400,2586839_0,112211_2586839_0
705417,2586839_2,112211_2586839_2
705425,2586892_0,112211_2586892_0
705429,2586892_1,112211_2586892_1
705457,2586793_0,112213_2586793_0
705461,2586793_1,112213_2586793_1
705465,2586796_0,112213_2586796_0
705466,2586797_0,112213_2586797_0
705470,2586797_1,112213_2586797_1
705541,2587016_0,112217_2587016_0
705545,2587016_1,112217_2587016_1
705562,2587438_0,112230_2587438_0
705566,2587438_1,112230_2587438_1
705570,2587438_2,112230_2587438_2
705589,2587456_0,112230_2587456_0
705593,2587456_1,112230_2587456_1
705597,2587456_2,112230_2587456_2
705605,2589508_0,112247_2589508_0
705609,2589508_1,112247_2589508_1
705613,2589508_2,112247_2589508_2
705614,2589509_0,112247_2589509_0
705618,2589509_1,112247_2589509_1
705622,2589509_2,112247_2589509_2
705630,-1_-1,112249_-1_-1
705631,2588462_0,112249_2588462_0
705633,2588457_0,112249_2588457_0
705639,2588462_1,112249_2588462_1
705641,2588457_1,112249_2588457_1
705691,-1_-1,112255_-1_-1
705703,2588549_0,112263_2588549_0
705723,2589198_0,112260_2589198_0
705727,2589198_1,112260_2589198_1
705731,2589198_2,112260_2589198_2
705751,2589202_0,112260_2589202_0
705755,2589202_1,112260_2589202_1
705759,2589202_2,112260_2589202_2
705788,2588549_1,112263_2588549_1
705792,2588549_2,112263_2588549_2
705819,2589089_0,112280_2589089_0
705823,2589089_1,112280_2589089_1
705827,2589089_2,112280_2589089_2
705844,2589109_0,112280_2589109_0
705848,2589109_1,112280_2589109_1
705852,2589109_2,112280_2589109_2
705870,2589364_0,112288_2589364_0
705874,2589364_1,112288_2589364_1
705878,2589364_2,112288_2589364_2
705890,2589386_0,112288_2589386_0
705894,2589386_1,112288_2589386_1
705898,2589386_2,112288_2589386_2
705904,2589589_0,112298_2589589_0
705908,2589589_1,112298_2589589_1
705912,2589589_2,112298_2589589_2
705918,2589602_0,112298_2589602_0
705922,2589602_1,112298_2589602_1
705926,2589602_2,112298_2589602_2
705955,2589659_0,112301_2589659_0
705959,2589659_1,112301_2589659_1
705963,2589659_2,112301_2589659_2
705985,2589670_0,112301_2589670_0
705989,2589670_1,112301_2589670_1
705993,2589670_2,112301_2589670_2
705999,2589684_0,112302_2589684_0
